price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,in_urban_areas
42000.0,2145,3.0,1.0,3.0,yes,no,no,,no,1.0,yes,unfurnished,Yes
122500.0,8960,4.0,4.0,4.0,yes,no,no,no,yes,3.0,no,furnished,Yes
49000.0,2970,-51.816138966744944,1.0,3.0,yes,no,no,no,no,0.0,no,semi-furnished,Yes
44030.0,4880,3.0,1.0,1.0,yes,no,no,no,no,2.0,yes,unfurnished,Yes
28700.0,3040,2.0,1.0,1.0,no,no,no,no,no,0.0,no,unfurnished,Yes
42770.0,3400,3.0,1.0,2.0,yes,no,yes,no,no,2.0,yes,semi-furnished,Yes
45850.0,4000,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,furnished,Yes
64750.0,7410,3.0,1.0,1.0,yes,yes,yes,no,yes,2.0,yes,unfurnished,Yes
98000.0,5750,3.0,2.0,4.0,yes,yes,no,no,yes,1.0,yes,unfurnished,Yes
45850.0,3840,3.0,1.0,2.0,yes,no,no,no,no,1.0,yes,semi-furnished,Yes
42000.0,7000,3.0,1.0,1.0,,no,no,no,no,3.0,no,furnished,Yes
19600.0,3420,5.0,1.0,2.0,no,no,no,no,no,0.0,no,unfurnished,Yes
30100.0,3750,3.0,1.0,2.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
40600.0,4340,,1.0,1.0,yes,no,no,no,no,0.0,no,,Yes
98700.0,8100,4.0,1.0,2.0,yes,yes,yes,no,yes,2.0,yes,furnished,Yes
26530.0,3185,2.0,1.0,1.0,yes,no,no,no,yes,0.0,,unfurnished,Yes
93100.0,6550,4.0,2.0,2.0,yes,no,no,no,yes,1.0,yes,semi-furnished,Yes
28350.0,,3.0,1.0,2.0,no,no,no,no,no,1.0,no,semi-furnished,Yes
48930.0,3420,4.0,2.0,2.0,yes,no,yes,no,yes,2.0,no,semi-furnished,Yes
35000.0,5900,2.0,,1.0,yes,no,no,no,no,1.0,,furnished,Yes
35700.0,4500,4.0,2.0,2.0,yes,no,yes,no,no,2.0,no,furnished,Yes
44800.0,4510,4.0,1.0,2.0,yes,no,no,no,yes,2.0,,semi-furnished,Yes
46200.0,4160,3.0,1.0,1.0,yes,yes,yes,,yes,0.0,no,unfurnished,Yes
43820.0,4950,4.0,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished,Yes
29400.0,4960,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
31290.0,5495,3.0,1.0,1.0,yes,no,yes,no,no,0.0,no,unfurnished,Yes
77000.0,6480,3.0,2.0,4.0,yes,no,no,no,yes,2.0,no,unfurnished,Yes
74200.0,6325,3.0,1.0,4.0,yes,no,no,no,yes,1.0,no,unfurnished,Yes
53200.0,7800,3.0,1.0,1.0,yes,no,yes,no,yes,2.0,yes,unfurnished,Yes
84000.0,8875,3.0,1.0,1.0,yes,no,no,no,no,1.0,no,semi-furnished,Yes
42000.0,4600,3.0,2.0,2.0,yes,no,no,no,yes,1.0,,semi-furnished,Yes
45150.0,9860,3.0,,1.0,yes,no,no,no,no,,no,semi-furnished,Yes
52500.0,,3.0,1.0,1.0,yes,no,no,no,yes,2.0,no,furnished,Yes
70700.0,6240,60.09621786220845,2.0,2.0,yes,no,no,no,yes,1.0,no,furnished,Yes
67900.0,4000,3.0,2.0,2.0,yes,no,yes,no,,0.0,yes,semi-furnished,Yes
43190.0,4032,2.0,1.0,1.0,yes,no,yes,no,no,0.0,no,furnished,Yes
49000.0,5800,2.0,1.0,1.0,yes,yes,yes,no,yes,0.0,no,semi-furnished,Yes
24500.0,3000,2.0,1.0,1.0,yes,no,no,no,no,1.0,no,unfurnished,Yes
