price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,in_urban_areas
4900000.0,6720,3.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
2590000.0,4400,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
6195000.0,5500,3.0,200.0,4.0,yes,yes,no,no,yes,1.0,no,semi-furnished,Yes
3500000.0,3480,3.0,1.0,1.0,no,no,no,no,yes,0.0,no,unfurnished,Yes
4585000.0,4000,3.0,1.0,2.0,yes,no,no,no,no,1.0,no,furnished,Yes
4130000.0,4632,4.0,1.0,2.0,yes,no,no,no,yes,0.0,no,semi-furnished,Yes
5040000.0,10700,3.0,1.0,2.0,yes,yes,yes,no,no,0.0,no,semi-furnished,Yes
8855000.0,6420,300.0,2.0,2.0,yes,no,no,no,yes,1.0,,semi-furnished,Yes
3500000.0,2135,3.0,2.0,2.0,no,no,no,no,no,0.0,no,unfurnished,Yes
6475000.0,3960,3.0,1.0,1.0,yes,no,yes,no,no,2.0,no,semi-furnished,Yes
3850000.0,4080,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,semi-furnished,Yes
6615000.0,10500,3.0,,1.0,yes,no,yes,no,yes,1.0,yes,furnished,Yes
3150000.0,3069,2.0,1.0,1.0,yes,no,no,no,,1.0,no,unfurnished,Yes
4550000.0,5360,3.0,1.0,2.0,yes,no,no,no,no,2.0,yes,unfurnished,Yes
2380000.0,3264,2.0,1.0,1.0,yes,no,no,no,no,0.0,no,unfurnished,Yes
3920000.0,7260,3.0,200.0,1.0,yes,yes,yes,no,no,3.0,no,furnished,Yes
4403000.0,4880,3.0,1.0,1.0,yes,no,no,no,no,,yes,unfurnished,Yes
4200000.0,2325,3.0,1.0,2.0,no,no,no,no,no,0.0,no,semi-furnished,Yes
5880000.0,6500,3.0,2.0,3.0,,no,no,no,yes,0.0,no,unfurnished,Yes
3703000.0,5450,2.0,1.0,1.0,yes,no,,no,no,,no,furnished,Yes
2940000.0,2700,2.0,1.0,1.0,no,no,,no,no,,no,furnished,Yes
4620000.0,5010,3.0,1.0,2.0,yes,no,yes,no,no,0.0,no,semi-furnished,Yes
2450000.0,3000,2.0,1.0,1.0,yes,,no,no,,1.0,no,unfurnished,Yes
1750000.0,3620,2.0,1.0,1.0,yes,no,no,,no,0.0,no,unfurnished,Yes
4690000.0,4320,3.0,1.0,1.0,yes,no,no,no,no,0.0,,semi-furnished,Yes
2961000.0,3000,2.0,1.0,2.0,yes,no,no,no,no,0.0,no,semi-furnished,Yes
2660000.0,3630,3.0,3.0,2.0,no,yes,no,,no,0.0,no,unfurnished,Yes
3535000.0,3850,3.0,1.0,1.0,yes,no,no,no,no,2.0,no,unfurnished,Yes
3255000.0,4500,2.0,1.0,1.0,no,no,no,no,no,0.0,no,semi-furnished,
3010000.0,3240,3.0,1.0,2.0,yes,no,no,no,no,2.0,no,semi-furnished,Yes
